Episodio,Entidade1,Relação,Entidade2
S1_a_golden_crown,Bronn,kicks,Ser Vardis Egen
S1_a_golden_crown,Dothraki,are chanting,Rhaego
S1_a_golden_crown,Eddard,strips,Gregor Clegane
S1_a_golden_crown,Jorah,wants,Daenerys
S1_a_golden_crown,Khal Drogo,gives,Viserys
S1_a_golden_crown,Lysa,complains that,Bronn
S1_a_golden_crown,Queen,put,Joffrey
S1_a_golden_crown,Robert,restores,Eddard
S1_a_golden_crown,Theon,tells,Ros
S1_a_golden_crown,Theon,thinks that,Robb
S1_a_golden_crown,Viserys,begs,Daenerys
S1_a_golden_crown,Viserys,is pleased until,Drogo
S1_a_golden_crown,Viserys,tells,Ser Jorah
S1_baelor,Arya,has been rescued by,Yoren
S1_baelor,Jaime,is captured by,Robb
S1_baelor,Jorah Mormont,helps,Daenerys
S1_baelor,Jorah,takes,Daenerys
S1_baelor,Khal Drogo,took fighting,Mago
S1_baelor,Lord Commander Jeor Mormont,gives,Jon Snow
S1_baelor,Mirri Maz Duur,promises to save,Drogo
S1_baelor,Mormont,also reinstates,Jon
S1_baelor,Qotho,to get,Mirri Maz Duur
S1_baelor,Riverrun,to attack,Jaime
S1_baelor,Sam,takes,Jon
S1_baelor,Ser Ilyn Payne,executes,Eddard Stark
S1_baelor,Ser Ilyn,draws,Eddard
S1_baelor,Shae,starts to question,Tyrion
S1_baelor,Tywin,forced,Jaime
S1_baelor,Varys,insinuates that,Sansa
S1_baelor,Varys,tells,Eddard
S1_baelor,Varys,urges,Eddard
S1_baelor,Varys,visits,Eddard Stark
S1_cripples_bastards_and_broken_things,Arya,asks whether,Bran
S1_cripples_bastards_and_broken_things,Cersei,visits,Eddard
S1_cripples_bastards_and_broken_things,Daenerys,arrives at,Vaes Dothrak
S1_cripples_bastards_and_broken_things,Daenerys,confides in,Mormont
S1_cripples_bastards_and_broken_things,Daenerys,sends,Doreah
S1_cripples_bastards_and_broken_things,Eddard,comes across,Arya
S1_cripples_bastards_and_broken_things,Eddard,decides that,Littlefinger
S1_cripples_bastards_and_broken_things,Eddard,realizes that,Gendry
S1_cripples_bastards_and_broken_things,Eddard,sends,Jory
S1_cripples_bastards_and_broken_things,Eddard,sends,Jory Cassel
S1_cripples_bastards_and_broken_things,Ghost,to intimidate,Rast
S1_cripples_bastards_and_broken_things,Lannister,stops at,Winterfell
S1_cripples_bastards_and_broken_things,Littlefinger,recommends that,Sansa
S1_cripples_bastards_and_broken_things,Sam,joins,Jon on the Wall
S1_cripples_bastards_and_broken_things,Sam,tells,Jon
S1_cripples_bastards_and_broken_things,Ser Alliser,scolds,Jon
S1_cripples_bastards_and_broken_things,Tyrion,sympathizes with,Bran
S1_cripples_bastards_and_broken_things,Viserys,is annoyed that,Drogo
S1_fire_and_blood,Catelyn,interrogates,Jaime
S1_fire_and_blood,Duur,agrees that,Daenerys
S1_fire_and_blood,Joffrey,asks,Marillion
S1_fire_and_blood,Joffrey,commands,Ilyn Payne
S1_fire_and_blood,Joffrey,then takes,Sansa
S1_fire_and_blood,Jon,leaves,Castle Black
S1_fire_and_blood,Lancel,is naked in,Cersei
S1_fire_and_blood,Lord Commander Jeor Mormont,decides to overlook,Jon
S1_fire_and_blood,Mormont,tells,Jon
S1_fire_and_blood,Osha,takes,Bran
S1_fire_and_blood,Rickon,calls,Shaggydog
S1_fire_and_blood,Sansa,is terrorized by,Joffrey
S1_fire_and_blood,Sansa,quietly retorts that,Robb
S1_fire_and_blood,Ser Jorah,believes that,Daenerys
S1_fire_and_blood,Yoren,drags,Arya
S1_lord_snow,Benjen Stark,meets,Jon
S1_lord_snow,Eddard,explains that,Sansa
S1_lord_snow,Eddard,threatens,Lord Baelish
S1_lord_snow,Jaime,comforts,Cersei
S1_lord_snow,Jorah,has heard of,Rakharo
S1_lord_snow,Littlefinger,fetches,Eddard
S1_lord_snow,Old Nan,tells,Bran
S1_lord_snow,Rodrik,arrive in,King 's Landing
S1_lord_snow,Ser Rodrik,arrive at,King 's Landing
S1_lord_snow,Tyrion,notes,Thorne
S1_lord_snow,Varys,tells,Eddard
S1_the_kingsroad,Arya,throws,Joffrey
S1_the_kingsroad,Catelyn,decides that,Ned
S1_the_kingsroad,Cersei,spitefully requests that,Sansa
S1_the_kingsroad,Dany 's Dothraki,handmaidens,Irri
S1_the_kingsroad,Doreah,instructs,Daenerys
S1_the_kingsroad,Eddard,kills,Lady
S1_the_kingsroad,Eddard,tells,Jon
S1_the_kingsroad,Hound,arriving with,Mycah
S1_the_kingsroad,Hound,ran,Mycah
S1_the_kingsroad,Joffrey,saves,Sansa
S1_the_kingsroad,Jon Snow,has,Winterfell
S1_the_kingsroad,Jon,urges,Arya
S1_the_kingsroad,Khal Drogo,have departed,Pentos
S1_the_kingsroad,Lannisters,tried to kill,Bran
S1_the_kingsroad,Ned,discipline,Arya
S1_the_kingsroad,Robert,asks,Eddard
S1_the_kingsroad,Sansa,tries to help,Joffrey
S1_the_pointy_end,Brothers,urge,Lord Commander Jeor Mormont
S1_the_pointy_end,Cersei,manipulates,Sansa
S1_the_pointy_end,Cersei,then dismisses,Ser Barristan Selmy
S1_the_pointy_end,Daenerys,notes,Drogo
S1_the_pointy_end,Eddard,asks,Varys
S1_the_pointy_end,Eddard,trusted,Littlefinger
S1_the_pointy_end,Joffrey,angrily says that,Selmy
S1_the_pointy_end,Jon,attempts to leave before,Mormont
S1_the_pointy_end,Jon,grabs,Mormont
S1_the_pointy_end,Pyp,holding,Jon
S1_the_pointy_end,Sansa,begs,Joffrey
S1_the_pointy_end,Septa Mordane,tells,Sansa
S1_the_pointy_end,Ser Rodrik Cassel,intercept,Robb
S1_the_pointy_end,Syrio,holds,Arya
S1_the_pointy_end,Varys,bluntly tells,Eddard
S1_the_pointy_end,Varys,visits,Eddard Stark
S1_the_wolf_and_the_lion,Arya,asks,Jory Cassel
S1_the_wolf_and_the_lion,Cersei,takes,Eddard
S1_the_wolf_and_the_lion,Crossroads Inn,to bring,Eddard
S1_the_wolf_and_the_lion,Dothraki,to invade,Westeros
S1_the_wolf_and_the_lion,Eddard,asks,Littlefinger
S1_the_wolf_and_the_lion,Eddard,finds,King Robert
S1_the_wolf_and_the_lion,Eddard,says that,Tyrion
S1_the_wolf_and_the_lion,Jaime,has heard of,Tyrion
S1_the_wolf_and_the_lion,Jon Arryn,was searching for,Robert
S1_the_wolf_and_the_lion,Jory,engages,Jaime
S1_the_wolf_and_the_lion,King Robert,tells,Eddard
S1_the_wolf_and_the_lion,Littlefinger,brings,Eddard Stark
S1_the_wolf_and_the_lion,Renly,betting on,Loras
S1_the_wolf_and_the_lion,Ser Loras,declares,Sandor
S1_the_wolf_and_the_lion,Varys,finds,Littlefinger
S1_the_wolf_and_the_lion,Varys,secretly meets,Illyrio
S1_winter_is_coming,Cersei,sends,Jaime
S1_winter_is_coming,Daenerys,marries,Khal Drogo
S1_winter_is_coming,Drogo,arrives at,Illyrio
S1_winter_is_coming,Drogo,arrives in,Pentos
S1_winter_is_coming,Drogo,gives,Daenerys
S1_winter_is_coming,Eddard,realizes that,King Robert
S1_winter_is_coming,Hand,to replace,Jon Arryn
S1_winter_is_coming,Jaime,tells,Tyrion
S1_winter_is_coming,Jon,angrily asks,Tyrion
S1_winter_is_coming,Lady Catelyn Stark,informs,Eddard
S1_winter_is_coming,Lysa,says that,Jon Arryn
S1_winter_is_coming,Robert Baratheon,majestically arrives in,Winterfell
S1_winter_is_coming,Robert,formally offers,Eddard
S1_winter_is_coming,Viserys,prepares,Daenerys
S1_you_win_or_you_die,Cersei,icily calls,Ned
S1_you_win_or_you_die,Daenerys,attempts to convince,Khal Drogo
S1_you_win_or_you_die,Daenerys,tries to convince,Drogo
S1_you_win_or_you_die,Eddard,finds,Robert
S1_you_win_or_you_die,Eddard,gives,Ser Barristan Selmy
S1_you_win_or_you_die,Eddard,refuses to dishonor,Robert
S1_you_win_or_you_die,Eddard,responds that,Joffrey
S1_you_win_or_you_die,Lord Commander,to groom,Jon
S1_you_win_or_you_die,Lord Eddard Stark,meets with,Cersei Lannister
S1_you_win_or_you_die,Lord Eddard,has,Robert
S1_you_win_or_you_die,Maester Luwin,dismisses,Theon
S1_you_win_or_you_die,Renly,confronts,Eddard
S1_you_win_or_you_die,Robert,drunkenly stumbled into,Cersei
S1_you_win_or_you_die,Robert,instructs,Eddard
S1_you_win_or_you_die,Ser Alliser Thorne,to punish,Jon
S1_you_win_or_you_die,Ser Jorah,tells,Daenerys
S1_you_win_or_you_die,Stannis,is,Renly
S2_a_man_without_honor,Catelyn,is forced to argue for,Jaime
S2_a_man_without_honor,Cersei,firmly believes that,Sansa
S2_a_man_without_honor,Cersei,meets with,Tyrion
S2_a_man_without_honor,Jaime,kills,Alton
S2_a_man_without_honor,Jaqen H'ghar,actually killed,Lorch
S2_a_man_without_honor,Joffrey,openly promised to rape,Sansa
S2_a_man_without_honor,Jorah,finds,Daenerys
S2_a_man_without_honor,Lord Rickard,demands,Jaime
S2_a_man_without_honor,Lorren,counters that,Theon
S2_a_man_without_honor,Pyat Pree,urges,Daenerys
S2_a_man_without_honor,Quaithe,knows that,Jorah
S2_a_man_without_honor,Quaithe,warns,Jorah
S2_a_man_without_honor,Sansa Stark,comes to thank,Sandor
S2_a_man_without_honor,Shae,tries to help,Sansa
